start,tenor,Forward_Swap_Rates
1,1,0.03192231111318708
1,2,0.03321680755679394
1,3,0.03398239502949115
1,5,0.035238402393670196
1,10,0.03841934528978271
5,1,0.03927406787784547
5,2,0.04007489710945826
5,3,0.04007229652854006
5,5,0.041093295756964784
5,10,0.043633806202831506
10,1,0.04218952754215185
10,2,0.04311602105526593
10,3,0.04409741243936779
10,5,0.04624942418073491
10,10,0.053458069392638766
