Years,Rate,OIS_Discount_Factor,IRS_Discount_Factor,Forward_LIBOR
0.5,0.025,0.9987515605493182,0.9876543209876544,0.025
1.0,0.028,0.9970089730807411,0.9724959396314734,0.031244763338271753
1.5,0.028999999999999998,0.995268340050612,0.9573375582752924,0.0312417524663946
2.0,0.03,0.9935307459132385,0.9421791769191115,0.033275256904202744
2.5,0.03075,0.9917713858143177,0.9263304368378078,0.034037584363638684
3.0,0.0315,0.9900151412183346,0.910481696756504,0.035564870810389504
3.5,0.032,0.9880639727394142,0.8947312668895844,0.035308880603103665
4.0,0.0325,0.9861166497152496,0.8789808370226647,0.036327508619097504
4.5,0.03275,0.9841484204909726,0.8639851391301374,0.035053017193988234
5.0,0.033,0.9821841197332523,0.8489894412376101,0.0355620490668338
5.5,0.0335,0.9797303657269498,0.8327961511650692,0.03887746119959368
6.0,0.034,0.9772827418428948,0.8166028610925282,0.03989834364419553
6.5,0.0345,0.9748412327664311,0.8004095710199872,0.04091985250244479
7.0,0.035,0.9724058232211626,0.7842162809474463,0.0419419878968732
7.5,0.035333333333333335,0.9696482447083646,0.7689652734878495,0.04040585182679313
8.0,0.035666666666666666,0.966898486222013,0.7537142660282526,0.04108680036892043
8.5,0.036000000000000004,0.964156525585835,0.7384632585686559,0.04176802725288464
9.0,0.036333333333333336,0.9614223406864457,0.7232122511090591,0.04244953251497985
9.5,0.03666666666666667,0.9586959094731703,0.7079612436494622,0.04313131619148569
10.0,0.037,0.9559772099578658,0.6927102361898654,0.04381337831867116
10.5,0.0373,0.9531022443646104,0.6785471774726449,0.043778210595927014
11.0,0.0376,0.95023592482178,0.6643841187554245,0.044392241446438385
11.5,0.037899999999999996,0.9473782253276066,0.6502210600382039,0.04500649786679656
12.0,0.0382,0.9445291199585192,0.6360580013209834,0.04562097988337821
12.5,0.0385,0.9416885828689078,0.621894942603763,0.04623568752263196
13.0,0.0388,0.9388565882908897,0.6077318838865425,0.046850620810925614
13.5,0.0391,0.9360331105340753,0.5935688251693221,0.047465779774651606
14.0,0.0394,0.9332181239853354,0.5794057664521015,0.04808116444022836
14.5,0.0397,0.9304116031085684,0.5652427077348811,0.048696774833985046
15.0,0.04,0.927613522444469,0.5510796490176606,0.04931261098234119
15.5,0.0405,0.9248226608198029,0.5367932495327963,0.05632876895092975
16.0,0.041,0.9220401959125407,0.5225068500479321,0.05736070297031315
16.5,0.0415,0.9192661024599239,0.5082204505630677,0.058393265848520004
17.0,0.042,0.9165003552752008,0.49393405107820343,0.059426457707013824
17.5,0.042499999999999996,0.9137429292473978,0.47964765159333916,0.06046027866731474
18.0,0.043,0.910993799341091,0.4653612521084749,0.06149472885077922
18.5,0.0435,0.9082529405961798,0.4510748526236106,0.06252980837874667
19.0,0.044,0.9055203281276591,0.4367884531387463,0.06356551737254956
19.5,0.0445,0.9027959371253946,0.42250205365388205,0.06460185595335832
20.0,0.045,0.9000797428538966,0.4082156541690177,0.06563882424233358
20.5,0.04525,0.8973709128722658,0.39898769831111774,0.05603893519679648
21.0,0.0455,0.8946702352348329,0.3897597424532177,0.05655410431052177
21.5,0.04575,0.8919776854067559,0.3805317865953177,0.05706943030825662
22.0,0.046,0.8892932389270314,0.3713038307374177,0.057584913205254606
22.5,0.04625,0.8866168714082724,0.3620758748795177,0.05810055301671402
23.0,0.0465,0.8839485585364868,0.35284791902161766,0.058616349757763864
23.5,0.04675,0.8812882760708568,0.3436199631637177,0.059132303443652834
24.0,0.047,0.8786359998435181,0.33439200730581764,0.05964841408956656
24.5,0.04725,0.8759917057593409,0.32516405144791766,0.060164681710618284
25.0,0.0475,0.8733553697957106,0.3159360955900177,0.060681106322050926
25.5,0.04775,0.8707269680023098,0.30670813973211764,0.06119768793903857
26.0,0.048,0.8681064765009006,0.29748018387421765,0.061714426576678694
26.5,0.04825,0.8654938714851078,0.2882522280163176,0.06223132225020733
27.0,0.0485,0.8628891292202026,0.27902427215841763,0.06274837497478702
27.5,0.04875,0.8602922260428866,0.2697963163005176,0.06326558476550126
28.0,0.049,0.8577031383610775,0.2605683604426176,0.0637829516375783
28.5,0.04925,0.8551218426536943,0.2513404045847176,0.0643004756061425
29.0,0.0495,0.8525483154704436,0.2421124487268176,0.06481815668636814
29.5,0.04975,0.849982533431607,0.23288449286891758,0.06533599489331765
30.0,0.05,0.8474244732278281,0.22365653701101756,0.06585399024220928
