,-1,0,1,mean_reversion,position
"(0, 0, 0, 1, 0, 0)",0.0009916668269350551,0.04816321988098133,0.06716098512064904,0,1
"(0, 0, 0, 1, 1, 0)",0.037364325038058824,0.09196914604367337,0.17586850897369838,1,1
"(0, 0, 0, 1, 1, 1)",0.06867666573529194,0.1298965757119888,0.3951191619140549,0,1
"(0, 0, 1, 0, 0, 0)",0.14915700994709802,0.06621207563341253,0.17020224178513857,0,1
"(0, 1, 1, 0, 0, 0)",0.1272882263488714,0.039159732293084185,0.07341754834993999,-1,-1
"(1, 1, 1, 0, 0, 0)",0.161020203524179,0.045851306853016645,0.018678450479641295,0,-1
"(0, 0, 0, 0, 0, 0)",0.0,0.0,0.0,0,-1
