,-1,0,1,mean_reversion,position
"(0, 0, 0, 1, 0, 0)",-0.3698836516766533,0.0,-0.17333674500715313,0,0
"(0, 0, 0, 1, 1, 0)",-0.6548404437561101,0.0,0.638820090916719,1,1
"(0, 0, 0, 1, 1, 1)",-0.5733264774125658,0.0,0.10870760444798376,0,1
"(0, 0, 1, 0, 0, 0)",1.0711025054617116,0.0,-0.05386231675596806,0,-1
"(0, 1, 1, 0, 0, 0)",0.4216764800799876,0.0,-0.35913708319733156,-1,-1
"(1, 1, 1, 0, 0, 0)",-0.07922181352692981,0.0,0.18304782055405658,0,1
"(0, 0, 0, 0, 0, 0)",0.0,0.0,0.0,0,-1
