,-1,0,1,mean_reversion,position
"(0, 0, 0, 1, 0, 0)",0.7375939754886203,0.7226740368835217,0.8420543352007787,0,1
"(0, 0, 0, 1, 1, 0)",0.49346772515971904,0.6453928883607913,0.6259585412414579,1,0
"(0, 0, 0, 1, 1, 1)",0.4937517956702754,0.6752068944303911,0.8550550819717377,0,1
"(0, 0, 1, 0, 0, 0)",0.4160461508254414,0.5505998033720116,0.5690689985179885,0,1
"(0, 1, 1, 0, 0, 0)",0.38495841861895125,0.453128451091675,0.3859588493471704,-1,0
"(1, 1, 1, 0, 0, 0)",0.8297572628040765,0.5072713644907586,0.37260207750326785,0,-1
"(0, 0, 0, 0, 0, 0)",0.0,0.0,0.0,0,-1
