,-1,0,1,mean_reversion,position
"(0, 0, 0, 1, 0, 0)",0.029438324983972104,0.025189909486320647,0.025333599853649608,0,-1
"(0, 0, 0, 1, 1, 0)",0.030638487808430287,0.025265837746999874,0.031391813070950604,1,1
"(0, 0, 0, 1, 1, 1)",0.024637791955347228,0.025382877965433114,0.030324935445324584,0,1
"(0, 0, 1, 0, 0, 0)",0.02572394297360551,0.026874164741442906,0.030177462176570812,0,1
"(0, 1, 1, 0, 0, 0)",0.026907511999525756,0.029199500425413485,0.03842938691481891,-1,1
"(1, 1, 1, 0, 0, 0)",0.0309776933593521,0.026268030895244394,0.02479186785941107,0,-1
"(0, 0, 0, 0, 0, 0)",0.029923256782764855,0.0255596661323162,0.03201372650226189,0,1
