,-1,0,1,mean_reversion,position
"(0, 0, 0, 1, 0, 0)",0.021437962339837534,0.02249320814181713,0.0205104055443704,0,0
"(0, 0, 0, 1, 1, 0)",0.021843391063552042,0.021904147510302965,0.02597984008759026,1,1
"(0, 0, 0, 1, 1, 1)",0.0301155364353549,0.022243914032762012,0.02089357602198104,0,-1
"(0, 0, 1, 0, 0, 0)",0.023467596466130728,0.021202596117184,0.023170161205733054,0,-1
"(0, 1, 1, 0, 0, 0)",0.022504287795184937,0.02213890511734449,0.02091380895546627,-1,-1
"(1, 1, 1, 0, 0, 0)",0.019892338925918636,0.02153419500406473,0.022756779879055732,0,1
"(0, 0, 0, 0, 0, 0)",0.028731835742041426,0.02096197157482836,0.023709988593216116,0,-1
