,-1,0,1,mean_reversion,position
"(0, 0, 0, 1, 0, 0)",-0.011244532418548725,0.0,-0.03356000476598575,0,0
"(0, 0, 0, 1, 1, 0)",0.0056309299351240405,0.0,-0.009668018939104073,1,-1
"(0, 0, 0, 1, 1, 1)",-0.00018670649738616873,0.0,0.009251137494324602,0,1
"(0, 0, 1, 0, 0, 0)",0.007983608626153216,0.0,0.009461765342903883,0,1
"(0, 1, 1, 0, 0, 0)",0.0022149717462233154,0.0,-0.001992666505509888,-1,-1
"(1, 1, 1, 0, 0, 0)",0.008891958609928086,0.0,-0.019063344138455562,0,-1
"(0, 0, 0, 0, 0, 0)",-0.03384711397900009,0.0,0.01106745544366683,0,1
