years,Rate,df,Tenor,Product,f,cumsum_df
0.5,0.0025,0.9987515605493182,6m,OIS,0.0024984474705913584,0.9987515605493182
1.0,0.003,0.9970089730807411,1y,OIS,0.003492596100617051,1.9957605336300595
1.5,,0.9952698594969898,,,,2.9910303931270494
2.0,0.00325,0.9935307459132384,2y,OIS,0.0034947783831504784,3.984561139040288
2.5,,0.9917729435657865,,,,4.9763340826060745
3.0,0.00335,0.9900151412183346,3y,OIS,0.0035447888626207757,5.966349223824409
3.5,,0.988065895466792,,,,6.954415119291201
4.0,0.0035,0.9861166497152494,4y,OIS,0.003945605189162255,7.9405317690064505
4.5,,0.9841503847242505,,,,8.924682153730702
5.0,0.0036,0.9821841197332517,5y,OIS,0.003995890364464688,9.906866273463953
5.5,,0.9809587752606623,,,,10.887825048724615
6.0,,0.9797334307880731,,,,11.867558479512688
6.5,,0.9785080863154838,,,,12.846066565828172
7.0,0.004,0.9772827418428944,7y,OIS,0.005002812005169378,13.823349307671066
7.5,,0.9763879493555983,,,,14.799737257026663
8.0,,0.9754931568683021,,,,15.775230413894965
8.5,,0.9745983643810059,,,,16.749828778275972
9.0,,0.9737035718937097,,,,17.723532350169684
9.5,,0.9728087794064135,,,,18.696341129576098
10.0,0.0045,0.9719139869191173,10y,OIS,0.0055087405982086534,19.668255116495214
10.5,,0.9713184984286048,,,,20.63957361492382
11.0,,0.9707230099380922,,,,21.61029662486191
11.5,,0.9701275214475797,,,,22.58042414630949
12.0,,0.9695320329570671,,,,23.549956179266555
12.5,,0.9689365444665546,,,,24.51889272373311
13.0,,0.9683410559760421,,,,25.48723377970915
13.5,,0.9677455674855295,,,,26.45497934719468
14.0,,0.967150078995017,,,,27.4221294261897
14.5,,0.9665545905045044,,,,28.388684016694203
15.0,0.005,0.9659591020139919,15y,OIS,0.005827303320374973,29.354643118708196
15.5,,0.9653745465596864,,,,30.320017665267883
16.0,,0.9647899911053807,,,,31.284807656373264
16.5,,0.964205435651075,,,,32.24901309202434
17.0,,0.9636208801967694,,,,33.21263397222111
17.5,,0.9630363247424638,,,,34.175670296963574
18.0,,0.9624517692881581,,,,35.13812206625173
18.5,,0.9618672138338524,,,,36.09998928008559
19.0,,0.9612826583795469,,,,37.06127193846513
19.5,,0.9606981029252413,,,,38.021970041390375
20.0,0.00525,0.9601135474709356,20y,OIS,0.005908199177467979,38.98208358886131
20.5,,0.9598419552644696,,,,39.94192554412578
21.0,,0.9595703630580035,,,,40.90149590718379
21.5,,0.9592987708515375,,,,41.860794678035326
22.0,,0.9590271786450715,,,,42.8198218566804
22.5,,0.9587555864386055,,,,43.778577443119005
23.0,,0.9584839942321394,,,,44.737061437351144
23.5,,0.9582124020256734,,,,45.69527383937682
24.0,,0.9579408098192074,,,,46.65321464919602
24.5,,0.9576692176127413,,,,47.61088386680876
25.0,,0.9573976254062753,,,,48.568281492215036
25.5,,0.9571260331998093,,,,49.52540752541484
26.0,,0.9568544409933432,,,,50.48226196640819
26.5,,0.9565828487868772,,,,51.43884481519507
27.0,,0.9563112565804112,,,,52.39515607177548
27.5,,0.956039664373945,,,,53.35119573614943
28.0,,0.955768072167479,,,,54.30696380831691
28.5,,0.9554964799610131,,,,55.26246028827792
29.0,,0.9552248877545471,,,,56.21768517603247
29.5,,0.954953295548081,,,,57.17263847158055
30.0,0.0055,0.954681703341615,30y,OIS,0.005963155962441321,58.12732017492216
